DateTime,Bridge_Type,Bridge_Name,Ships_per_day,ship_present,Closure_min,vehicle_flow_veh_hr,delay_min_per_vehicle,period_of_day,rush_hour
2025-07-04 23:54,Swing,El Ferdan,0,NO,0,2499,0.0,Night,NO
2025-07-05 03:23,Floating,Martyr-El-Sayed,2,YES,37,3494,0.023,Night,NO
2025-07-06 10:07,Floating,Martyr-El-Sayed,0,NO,0,3021,0.0,Morning,NO
2025-07-07 18:19,Swing,El Ferdan,2,YES,43,3253,0.001,Evening,YES
2025-07-08 09:43,Floating,Martyr-El-Sayed,2,YES,42,3032,0.044,Morning,NO
2025-07-09 16:04,Pontoon,Ahmed-el-Mansy,0,NO,0,3276,0.0,Afternoon,NO
2025-07-10 02:00,Pontoon,Ahmed-el-Mansy,1,YES,18,3154,0.016,Night,NO
2025-07-11 13:25,Pontoon,Ahmed-el-Mansy,2,YES,32,3491,0.037,Afternoon,NO
2025-07-12 16:32,Floating,Martyr-El-Sayed,2,YES,35,3351,0.014,Afternoon,NO
2025-07-13 19:29,Floating,Martyr-Abul-Makarem,0,NO,0,3371,0.0,Evening,NO
2025-07-14 22:32,Pontoon,Ahmed-el-Mansy,3,YES,58,3121,0.014,Night,NO
2025-07-15 01:26,Floating,Martyr-Abul-Makarem,0,NO,0,3813,0.0,Night,NO
2025-07-16 04:19,Floating,Martyr-Abul-Makarem,0,NO,0,3347,0.0,Night,NO
2025-07-17 22:46,Floating,Martyr-El-Sayed,1,YES,26,3784,0.022,Night,NO
2025-07-18 07:41,Swing,El Ferdan,5,YES,97,3202,0.014,Morning,NO
2025-07-19 19:24,Floating,Martyr-El-Sayed,1,YES,20,2799,0.019,Evening,NO
2025-07-20 23:24,Pontoon,Ahmed-el-Mansy,1,YES,18,2944,0.026,Night,NO
2025-07-21 16:19,Pontoon,Ahmed-el-Mansy,0,NO,0,3294,0.0,Afternoon,NO
2025-07-22 12:29,Floating,Martyr-Abul-Makarem,0,NO,0,3206,0.0,Afternoon,NO
2025-07-23 16:44,Pontoon,Taha-Zaki-Abdullah,0,NO,0,2917,0.0,Afternoon,NO
2025-07-24 13:50,Floating,Martyr-El-Sayed,0,NO,0,3577,0.0,Afternoon,NO
2025-07-25 05:50,Pontoon,Ahmed-el-Mansy,2,YES,32,3775,0.021,Morning,NO
2025-07-26 00:56,Floating,Martyr-Abul-Makarem,0,NO,0,3279,0.0,Night,NO
2025-07-27 02:50,Swing,El Ferdan,8,YES,145,3318,0.026,Night,NO
2025-07-28 01:02,Pontoon,Ahmed-el-Mansy,1,YES,21,3139,0.024,Night,NO
2025-07-29 11:23,Swing,El Ferdan,3,YES,53,2845,0.029,Daytime,NO
2025-07-30 03:25,Floating,Martyr-El-Sayed,3,YES,54,3229,-0.007,Night,NO
2025-07-31 20:41,Pontoon,Taha-Zaki-Abdullah,1,YES,15,3220,0.042,Rush Hour,NO
2025-08-01 20:27,Floating,Martyr-El-Sayed,1,YES,15,3294,0.016,Rush Hour,NO
2025-08-02 10:35,Swing,El Ferdan,3,YES,53,2880,0.022,Daytime,NO
2025-08-03 12:42,Floating,Martyr-El-Sayed,0,NO,0,3939,0.0,Afternoon,NO
2025-08-04 07:16,Swing,El Ferdan,3,YES,53,2721,0.033,Morning,YES
2025-08-05 09:56,Swing,El Ferdan,6,YES,103,3186,0.018,Daytime,NO
2025-08-06 06:34,Floating,Martyr-El-Sayed,2,YES,33,3555,0.016,Morning,NO
2025-08-07 22:43,Swing,El Ferdan,4,YES,76,3198,0.045,Night,NO
2025-08-08 11:46,Swing,El Ferdan,2,YES,36,3159,0.011,Morning,NO
2025-08-09 04:24,Swing,El Ferdan,0,NO,0,2985,0.0,Night,NO
2025-08-10 04:36,Floating,Martyr-Abul-Makarem,5,YES,93,3125,0.018,Night,NO
2025-08-11 23:05,Pontoon,Taha-Zaki-Abdullah,1,YES,16,3084,0.026,Night,NO
2025-08-12 14:24,Swing,El Ferdan,1,YES,15,3229,0.017,Afternoon,NO
2025-08-13 10:58,Floating,Martyr-El-Sayed,0,NO,0,2872,0.0,Daytime,NO
2025-08-14 17:05,Pontoon,Taha-Zaki-Abdullah,0,NO,0,2931,0.0,Evening,YES
2025-08-15 18:57,Floating,Martyr-Abul-Makarem,1,YES,15,3322,0.021,Rush Hour,YES
2025-08-16 08:12,Floating,Martyr-Abul-Makarem,0,NO,0,3061,0.0,Daytime,YES
2025-08-17 18:30,Floating,Martyr-El-Sayed,1,YES,15,3375,0.022,Evening,NO
2025-08-18 13:26,Swing,El Ferdan,1,YES,18,3183,0.021,Afternoon,NO
2025-08-19 06:09,Swing,El Ferdan,2,YES,37,3372,0.029,Morning,NO
2025-08-20 09:53,Swing,El Ferdan,0,NO,0,3856,0.0,Morning,NO
2025-08-21 11:06,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3210,0.0,Daytime,NO
2025-08-22 22:25,Floating,Martyr-El-Sayed,0,NO,0,2881,0.0,Night,NO
2025-08-23 22:28,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3389,0.0,Night,NO
2025-08-24 19:21,Floating,Martyr-Abul-Makarem,2,YES,38,3803,0.005,Evening,NO
2025-08-25 02:58,Swing,El Ferdan,3,YES,55,2885,0.022,Night,NO
2025-08-26 20:07,Floating,Martyr-Abul-Makarem,1,YES,20,3624,0.021,Evening,NO
2025-08-27 16:43,Pontoon,Ahmed-el-Mansy,0,NO,0,3155,0.0,Afternoon,NO
2025-08-28 21:53,Pontoon,Taha-Zaki-Abdullah,1,YES,16,3114,-0.005,Night,NO
2025-08-29 10:44,Swing,El Ferdan,0,NO,0,3393,0.0,Morning,NO
2025-08-30 23:40,Swing,El Ferdan,0,NO,0,2976,0.0,Night,NO
2025-08-31 21:21,Pontoon,Ahmed-el-Mansy,0,NO,0,3784,0.0,Night,NO
2025-09-01 00:01,Swing,El Ferdan,0,NO,0,3045,0.0,Night,NO
2025-09-02 19:25,Floating,Martyr-El-Sayed,0,NO,0,3415,0.0,Rush Hour,NO
2025-09-03 07:10,Pontoon,Taha-Zaki-Abdullah,3,YES,58,3190,0.032,Daytime,YES
2025-09-04 10:17,Pontoon,Ahmed-el-Mansy,1,YES,17,3406,0.012,Morning,NO
2025-09-05 17:05,Floating,Martyr-El-Sayed,1,YES,22,3197,0.011,Evening,YES
2025-09-06 06:11,Swing,El Ferdan,2,YES,33,3850,0.026,Daytime,NO
2025-09-07 05:38,Floating,Martyr-El-Sayed,1,YES,14,2785,0.017,Daytime,NO
2025-09-08 03:47,Floating,Martyr-El-Sayed,0,NO,0,3242,0.0,Night,NO
2025-09-09 21:59,Pontoon,Taha-Zaki-Abdullah,1,YES,21,2728,0.026,Night,NO
2025-09-10 01:34,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3765,0.0,Night,NO
2025-09-11 03:44,Floating,Martyr-Abul-Makarem,2,YES,40,3200,0.007,Night,NO
2025-09-12 11:00,Swing,El Ferdan,0,NO,0,3145,0.0,Daytime,NO
2025-09-13 04:11,Pontoon,Taha-Zaki-Abdullah,2,YES,37,3263,0.015,Night,NO
2025-09-14 00:54,Floating,Martyr-Abul-Makarem,2,YES,34,3291,0.023,Night,NO
2025-09-15 23:46,Floating,Martyr-Abul-Makarem,0,NO,0,3208,0.0,Night,NO
2025-09-16 12:51,Floating,Martyr-El-Sayed,1,YES,15,3062,0.039,Afternoon,NO
2025-09-17 21:46,Floating,Martyr-El-Sayed,0,NO,0,3241,0.0,Night,NO
2025-09-18 07:46,Swing,El Ferdan,2,YES,37,3338,0.017,Daytime,YES
2025-09-19 12:30,Swing,El Ferdan,0,NO,0,3616,0.0,Afternoon,NO
2025-09-20 03:37,Floating,Martyr-Abul-Makarem,3,YES,53,3254,0.006,Night,NO
2025-09-21 20:18,Pontoon,Ahmed-el-Mansy,0,NO,0,3569,0.0,Evening,NO
2025-09-22 05:25,Floating,Martyr-Abul-Makarem,3,YES,48,3937,0.004,Morning,NO
2025-09-23 04:14,Pontoon,Ahmed-el-Mansy,0,NO,0,3556,0.0,Night,NO
2025-09-24 13:49,Pontoon,Ahmed-el-Mansy,1,YES,20,3334,0.016,Afternoon,NO
2025-09-25 01:13,Pontoon,Taha-Zaki-Abdullah,2,YES,38,3001,0.022,Night,NO
2025-09-26 01:48,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3182,0.0,Night,NO
2025-09-27 11:09,Pontoon,Taha-Zaki-Abdullah,1,YES,15,3206,0.027,Daytime,NO
2025-09-28 11:55,Pontoon,Taha-Zaki-Abdullah,3,YES,52,3594,0.014,Morning,NO
2025-09-29 04:03,Floating,Martyr-El-Sayed,3,YES,51,3400,0.014,Night,NO
2025-09-30 20:16,Pontoon,Taha-Zaki-Abdullah,1,YES,23,3687,-0.001,Rush Hour,NO
2025-10-01 02:06,Pontoon,Taha-Zaki-Abdullah,1,YES,24,3366,0.03,Night,NO
2025-10-02 06:44,Pontoon,Ahmed-el-Mansy,0,NO,0,2945,0.0,Morning,NO
2025-10-03 03:12,Swing,El Ferdan,0,NO,0,3539,0.0,Night,NO
2025-10-04 20:07,Floating,Martyr-El-Sayed,1,YES,20,3206,0.013,Rush Hour,NO
2025-10-05 22:29,Pontoon,Ahmed-el-Mansy,1,YES,16,2952,0.027,Night,NO
2025-10-06 22:15,Pontoon,Ahmed-el-Mansy,2,YES,29,3155,0.02,Night,NO
2025-10-07 20:19,Floating,Martyr-El-Sayed,3,YES,48,2788,0.022,Rush Hour,NO
2025-10-08 22:25,Pontoon,Ahmed-el-Mansy,1,YES,19,3670,0.017,Night,NO
2025-10-09 16:41,Floating,Martyr-El-Sayed,0,NO,0,3361,0.0,Afternoon,NO
2025-10-10 13:05,Floating,Martyr-Abul-Makarem,2,YES,31,2939,0.034,Afternoon,NO
2025-10-11 09:24,Floating,Martyr-El-Sayed,2,YES,31,3269,0.012,Morning,NO
2025-10-12 14:03,Pontoon,Taha-Zaki-Abdullah,2,YES,30,2968,0.019,Afternoon,NO
2025-10-13 10:01,Pontoon,Ahmed-el-Mansy,1,YES,13,3226,0.004,Morning,NO
2025-10-14 14:08,Floating,Martyr-Abul-Makarem,0,NO,0,3506,0.0,Afternoon,NO
2025-10-15 15:59,Swing,El Ferdan,3,YES,49,2839,0.019,Afternoon,NO
2025-10-16 21:13,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3219,0.0,Night,NO
2025-10-17 20:53,Pontoon,Taha-Zaki-Abdullah,1,YES,19,3245,0.024,Evening,NO
2025-10-18 20:51,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3237,0.0,Rush Hour,NO
2025-10-19 07:34,Swing,El Ferdan,2,YES,38,3030,0.023,Daytime,NO
2025-10-20 10:54,Floating,Martyr-El-Sayed,1,YES,19,3172,0.019,Morning,NO
2025-10-21 07:56,Floating,Martyr-Abul-Makarem,2,YES,34,3019,-0.003,Daytime,YES
2025-10-22 18:27,Floating,Martyr-Abul-Makarem,1,YES,20,3548,0.009,Evening,YES
2025-10-23 16:35,Pontoon,Ahmed-el-Mansy,1,YES,22,3686,0.034,Afternoon,NO
2025-10-24 01:10,Floating,Martyr-El-Sayed,0,NO,0,3186,0.0,Night,NO
2025-10-25 07:58,Pontoon,Ahmed-el-Mansy,0,NO,0,3139,0.0,Morning,YES
2025-10-26 18:45,Swing,El Ferdan,4,YES,80,3470,0.007,Rush Hour,YES
2025-10-27 21:27,Pontoon,Taha-Zaki-Abdullah,1,YES,16,3332,0.006,Night,NO
2025-10-28 11:12,Floating,Martyr-Abul-Makarem,3,YES,54,3180,0.025,Daytime,NO
2025-10-29 03:39,Floating,Martyr-Abul-Makarem,2,YES,42,2891,0.025,Night,NO
2025-10-30 12:08,Pontoon,Ahmed-el-Mansy,2,YES,39,3489,0.024,Afternoon,NO
2025-10-31 05:55,Floating,Martyr-Abul-Makarem,2,YES,39,2740,0.036,Morning,NO
2025-11-01 20:09,Pontoon,Ahmed-el-Mansy,0,NO,0,2895,0.0,Rush Hour,NO
2025-11-02 13:02,Pontoon,Taha-Zaki-Abdullah,2,YES,40,3498,0.009,Afternoon,NO
2025-11-03 21:23,Pontoon,Taha-Zaki-Abdullah,2,YES,40,2978,0.017,Night,NO
2025-11-04 00:17,Pontoon,Ahmed-el-Mansy,1,YES,21,3231,0.041,Night,NO
2025-11-05 14:05,Pontoon,Ahmed-el-Mansy,1,YES,12,2826,0.009,Afternoon,NO
2025-11-06 16:29,Pontoon,Taha-Zaki-Abdullah,1,YES,19,3126,0.024,Afternoon,NO
2025-11-07 04:19,Swing,El Ferdan,2,YES,35,2950,0.017,Night,NO
2025-11-08 23:43,Floating,Martyr-El-Sayed,0,NO,0,2986,0.0,Night,NO
2025-11-09 13:55,Floating,Martyr-El-Sayed,0,NO,0,3158,0.0,Afternoon,NO
2025-11-10 12:05,Pontoon,Ahmed-el-Mansy,0,NO,0,3565,0.0,Afternoon,NO
2025-11-11 20:03,Floating,Martyr-El-Sayed,1,YES,19,3276,0.003,Rush Hour,NO
2025-11-12 20:17,Pontoon,Taha-Zaki-Abdullah,1,YES,14,3974,-0.001,Evening,NO
2025-11-13 17:52,Pontoon,Ahmed-el-Mansy,1,YES,19,3824,0.011,Rush Hour,YES
2025-11-14 16:16,Floating,Martyr-El-Sayed,0,NO,0,2928,0.0,Afternoon,NO
2025-11-15 20:04,Floating,Martyr-El-Sayed,0,NO,0,3189,0.0,Rush Hour,NO
2025-11-16 18:38,Pontoon,Ahmed-el-Mansy,0,NO,0,3669,0.0,Evening,YES
2025-11-17 16:31,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3598,0.0,Afternoon,NO
2025-11-18 21:14,Pontoon,Taha-Zaki-Abdullah,1,YES,23,3363,0.009,Night,NO
2025-11-19 02:07,Pontoon,Ahmed-el-Mansy,1,YES,19,3024,0.033,Night,NO
2025-11-20 18:10,Pontoon,Ahmed-el-Mansy,1,YES,19,3660,0.012,Evening,YES
2025-11-21 09:59,Pontoon,Ahmed-el-Mansy,1,YES,13,3639,0.017,Morning,NO
2025-11-22 22:07,Pontoon,Taha-Zaki-Abdullah,2,YES,37,3247,0.022,Night,NO
2025-11-23 12:33,Pontoon,Ahmed-el-Mansy,1,YES,19,3092,0.007,Afternoon,NO
2025-11-24 08:51,Floating,Martyr-El-Sayed,3,YES,53,3270,0.029,Morning,NO
2025-11-25 00:20,Floating,Martyr-Abul-Makarem,1,YES,15,3615,0.032,Night,NO
2025-11-26 04:43,Floating,Martyr-Abul-Makarem,0,NO,0,3449,0.0,Night,NO
2025-11-27 15:33,Floating,Martyr-El-Sayed,2,YES,37,3071,0.014,Afternoon,NO
2025-11-28 20:34,Swing,El Ferdan,2,YES,39,3440,0.029,Rush Hour,NO
2025-11-29 22:58,Floating,Martyr-Abul-Makarem,0,NO,0,2821,0.0,Night,NO
2025-11-30 20:07,Floating,Martyr-Abul-Makarem,1,YES,17,3128,0.018,Evening,NO
2025-12-01 18:45,Floating,Martyr-Abul-Makarem,4,YES,78,3171,0.018,Evening,NO
2025-12-02 19:24,Floating,Martyr-Abul-Makarem,0,NO,0,3473,0.0,Evening,NO
2025-12-03 03:27,Floating,Martyr-El-Sayed,2,YES,36,3274,0.014,Night,NO
2025-12-04 17:20,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3321,0.0,Rush Hour,YES
2025-12-05 16:33,Swing,El Ferdan,1,YES,18,3679,0.014,Afternoon,NO
2025-12-06 22:06,Pontoon,Ahmed-el-Mansy,1,YES,15,3286,0.024,Night,NO
2025-12-07 00:07,Swing,El Ferdan,2,YES,44,3098,0.006,Night,NO
2025-12-08 16:12,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3575,0.0,Afternoon,NO
2025-12-09 16:41,Floating,Martyr-Abul-Makarem,0,NO,0,3498,0.0,Afternoon,NO
2025-12-10 16:40,Swing,El Ferdan,0,NO,0,3281,0.0,Afternoon,NO
2025-12-11 08:38,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3230,0.0,Morning,YES
2025-12-12 07:43,Floating,Martyr-Abul-Makarem,2,YES,34,3105,0.021,Morning,NO
2025-12-13 17:17,Floating,Martyr-El-Sayed,1,YES,20,3589,0.039,Evening,YES
2025-12-14 08:38,Floating,Martyr-El-Sayed,2,YES,42,3319,0.022,Daytime,NO
2025-12-15 05:02,Floating,Martyr-El-Sayed,0,NO,0,2740,0.0,Morning,NO
2025-12-16 12:14,Floating,Martyr-El-Sayed,2,YES,40,3199,0.012,Afternoon,NO
2025-12-17 03:34,Pontoon,Taha-Zaki-Abdullah,1,YES,15,3408,0.022,Night,NO
2025-12-18 14:40,Floating,Martyr-Abul-Makarem,1,YES,22,2953,0.035,Afternoon,NO
2025-12-19 04:06,Pontoon,Ahmed-el-Mansy,1,YES,19,3380,0.031,Night,NO
2025-12-20 04:07,Floating,Martyr-El-Sayed,1,YES,21,2915,0.022,Night,NO
2025-12-21 13:53,Floating,Martyr-Abul-Makarem,0,NO,0,3141,0.0,Afternoon,NO
2025-12-22 14:52,Floating,Martyr-El-Sayed,4,YES,69,2911,0.022,Afternoon,NO
2025-12-23 01:44,Pontoon,Taha-Zaki-Abdullah,1,YES,15,2987,0.018,Night,NO
2025-12-24 11:20,Pontoon,Ahmed-el-Mansy,2,YES,36,3439,0.011,Morning,NO
2025-12-25 21:56,Floating,Martyr-El-Sayed,0,NO,0,3163,0.0,Night,NO
2025-12-26 04:16,Pontoon,Taha-Zaki-Abdullah,3,YES,54,3050,0.028,Night,NO
2025-12-27 11:05,Swing,El Ferdan,0,NO,0,3446,0.0,Daytime,NO
2025-12-28 05:54,Floating,Martyr-El-Sayed,4,YES,64,2736,0.035,Morning,NO
2025-12-29 08:07,Pontoon,Ahmed-el-Mansy,0,NO,0,2834,0.0,Morning,NO
2025-12-30 02:58,Pontoon,Taha-Zaki-Abdullah,3,YES,62,3580,0.007,Night,NO
2025-12-31 01:40,Floating,Martyr-Abul-Makarem,0,NO,0,3089,0.0,Night,NO
2026-01-01 06:02,Swing,El Ferdan,2,YES,39,3354,0.025,Morning,NO
2026-01-02 01:45,Pontoon,Ahmed-el-Mansy,0,NO,0,3206,0.0,Night,NO
2026-01-03 02:13,Pontoon,Ahmed-el-Mansy,0,NO,0,3451,0.0,Night,NO
2026-01-04 18:58,Floating,Martyr-El-Sayed,2,YES,33,3037,0.012,Rush Hour,YES
2026-01-05 22:26,Pontoon,Taha-Zaki-Abdullah,2,YES,31,3039,0.026,Night,NO
2026-01-06 09:09,Pontoon,Ahmed-el-Mansy,1,YES,19,3503,0.023,Morning,NO
2026-01-07 03:12,Floating,Martyr-Abul-Makarem,1,YES,21,3350,0.008,Night,NO
2026-01-08 11:48,Swing,El Ferdan,0,NO,0,3247,0.0,Morning,NO
2026-01-09 05:16,Floating,Martyr-El-Sayed,1,YES,17,3305,0.008,Morning,NO
2026-01-10 17:14,Floating,Martyr-Abul-Makarem,2,YES,35,3844,0.03,Evening,NO
2026-01-11 20:42,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3052,0.0,Rush Hour,NO
2026-01-12 08:20,Pontoon,Ahmed-el-Mansy,2,YES,37,2400,0.025,Morning,NO
2026-01-13 11:40,Pontoon,Ahmed-el-Mansy,1,YES,19,3000,0.034,Daytime,NO
2026-01-14 21:32,Pontoon,Ahmed-el-Mansy,1,YES,23,3632,0.025,Night,NO
2026-01-15 11:43,Pontoon,Taha-Zaki-Abdullah,1,YES,24,3284,0.015,Daytime,NO
2026-01-16 20:43,Pontoon,Taha-Zaki-Abdullah,4,YES,75,3383,0.032,Evening,NO
2026-01-17 15:46,Swing,El Ferdan,2,YES,36,3544,0.009,Afternoon,NO
2026-01-18 19:56,Pontoon,Ahmed-el-Mansy,1,YES,18,3302,0.021,Evening,NO
2026-01-19 21:58,Pontoon,Ahmed-el-Mansy,2,YES,38,3117,0.041,Night,NO
2026-01-20 10:14,Pontoon,Ahmed-el-Mansy,1,YES,20,3684,0.012,Morning,NO
2026-01-21 12:52,Pontoon,Ahmed-el-Mansy,1,YES,16,2872,0.018,Afternoon,NO
2026-01-22 14:30,Swing,El Ferdan,3,YES,45,3625,0.018,Afternoon,NO
2026-01-23 21:17,Floating,Martyr-El-Sayed,0,NO,0,3936,0.0,Night,NO
2026-01-24 05:28,Pontoon,Ahmed-el-Mansy,2,YES,37,3734,0.005,Morning,NO
2026-01-25 15:55,Floating,Martyr-Abul-Makarem,0,NO,0,3349,0.0,Afternoon,NO
2026-01-26 17:18,Floating,Martyr-El-Sayed,1,YES,18,3791,0.014,Rush Hour,YES
2026-01-27 19:23,Floating,Martyr-El-Sayed,0,NO,0,3718,0.0,Evening,NO
2026-01-28 04:27,Pontoon,Ahmed-el-Mansy,0,NO,0,2869,0.0,Night,NO
2026-01-29 07:01,Floating,Martyr-Abul-Makarem,1,YES,16,3247,0.025,Morning,YES
2026-01-30 19:52,Floating,Martyr-Abul-Makarem,0,NO,0,3048,0.0,Rush Hour,NO
2026-01-31 12:51,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3517,0.0,Afternoon,NO
2026-02-01 17:00,Floating,Martyr-El-Sayed,1,YES,20,2924,0.028,Evening,YES
2026-02-02 20:34,Pontoon,Ahmed-el-Mansy,0,NO,0,3537,0.0,Rush Hour,NO
2026-02-03 06:25,Pontoon,Taha-Zaki-Abdullah,1,YES,17,3372,0.005,Morning,NO
2026-02-04 06:45,Pontoon,Ahmed-el-Mansy,0,NO,0,3665,0.0,Daytime,NO
